# SYNTHETIC data - generated by scripts/make_synthetic.py for project 02.13
# regenerate: python make_synthetic.py --seed 42
# scene: static WALL/WALL_EDGE/POLE + dynamic CAR/PEDESTRIAN/GHOST; see this
#        script's module docstring for the full scene description
# num_scans=10
# num_beams=16
# azimuth_steps=180
# max_range_m=20.0
# range_noise_sigma_m=0.02
# seed=42
# cohort ids: 0=WALL 1=POLE 2=WALL_EDGE 3=CAR(dyn) 4=PEDESTRIAN(dyn) 5=GHOST(dyn) -1=NONE(miss)
# columns: scan_id,dir_x,dir_y,dir_z,is_hit,range_m,cohort,truth_dynamic
0,0.96592583,0.00000000,-0.25881905,0,20.00000000,-1,-1
0,0.96533741,0.03371033,-0.25881905,0,20.00000000,-1,-1
0,0.96357288,0.06737958,-0.25881905,0,20.00000000,-1,-1
0,0.96063438,0.10096674,-0.25881905,0,20.00000000,-1,-1
0,0.95652550,0.13443089,-0.25881905,0,20.00000000,-1,-1
0,0.95125124,0.16773126,-0.25881905,0,20.00000000,-1,-1
0,0.94481803,0.20082727,-0.25881905,0,20.00000000,-1,-1
0,0.93723370,0.23367861,-0.25881905,0,20.00000000,-1,-1
0,0.92850750,0.26624524,-0.25881905,0,20.00000000,-1,-1
0,0.91865005,0.29848750,-0.25881905,0,20.00000000,-1,-1
0,0.90767337,0.33036609,-0.25881905,0,20.00000000,-1,-1
0,0.89559083,0.36184218,-0.25881905,0,20.00000000,-1,-1
0,0.88241715,0.39287743,-0.25881905,0,20.00000000,-1,-1
0,0.86816838,0.42343401,-0.25881905,0,20.00000000,-1,-1
0,0.85286188,0.45347471,-0.25881905,0,20.00000000,-1,-1
0,0.83651630,0.48296291,-0.25881905,0,20.00000000,-1,-1
0,0.81915156,0.51186270,-0.25881905,0,20.00000000,-1,-1
0,0.80078880,0.54013887,-0.25881905,0,20.00000000,-1,-1
0,0.78145041,0.56775696,-0.25881905,0,20.00000000,-1,-1
0,0.76115994,0.59468332,-0.25881905,0,20.00000000,-1,-1
0,0.73994211,0.62088515,-0.25881905,0,20.00000000,-1,-1
0,0.71782278,0.64633053,-0.25881905,0,20.00000000,-1,-1
0,0.69482889,0.67098846,-0.25881905,0,20.00000000,-1,-1
0,0.67098846,0.69482889,-0.25881905,1,11.18897641,0,0
0,0.64633053,0.71782278,-0.25881905,1,10.89070996,0,0
0,0.62088515,0.73994211,-0.25881905,1,10.53607976,0,0
0,0.59468332,0.76115994,-0.25881905,1,10.23764850,0,0
0,0.56775696,0.78145041,-0.25881905,1,9.98159096,0,0
0,0.54013887,0.80078880,-0.25881905,1,9.74429312,0,0
0,0.51186270,0.81915156,-0.25881905,1,9.52121509,0,0
0,0.48296291,0.83651630,-0.25881905,1,9.32397856,0,0
0,0.45347471,0.85286188,-0.25881905,1,9.18628248,0,0
0,0.42343401,0.86816838,-0.25881905,1,8.97571539,0,0
0,0.39287743,0.88241715,-0.25881905,1,8.82554666,0,0
0,0.36184218,0.89559083,-0.25881905,1,8.68985993,0,0
0,0.33036609,0.90767337,-0.25881905,1,8.61480522,0,0
0,0.29848750,0.91865005,-0.25881905,1,8.47579942,0,0
0,0.26624524,0.92850750,-0.25881905,1,8.39745285,0,0
0,0.23367861,0.93723370,-0.25881905,1,8.30158126,0,0
