# jfa_seeds.csv - SYNTHETIC sample data for project 07.09
# generated by scripts/make_synthetic.py (python random.Random, seed 42)
# format: S,<id>,x,y  - one Voronoi seed cell on the 512x512 sample grid
# robotics reading: each seed is an 'obstacle cell'; the demo's distance
# field is then the clearance map a local planner would consume
# license: same as the repository (MIT) - fully synthetic, no external source
S,0,114,25
S,1,281,250
S,2,228,142
S,3,104,89
S,4,432,32
S,5,30,95
S,6,223,238
S,7,27,203
S,8,429,225
S,9,459,284
S,10,6,163
S,11,432,348
S,12,284,159
S,13,220,344
S,14,104,94
S,15,389,99
S,16,367,352
S,17,270,44
S,18,470,127
S,19,387,80
S,20,300,370
S,21,196,71
S,22,46,233
S,23,296,81
S,24,238,103
S,25,389,284
S,26,464,373
S,27,166,379
S,28,363,214
S,29,273,73
S,30,175,250
S,31,167,473
S,32,388,276
S,33,224,332
S,34,57,234
S,35,32,323
S,36,410,274
S,37,67,216
S,38,322,217
S,39,511,405
S,40,469,146
S,41,271,142
S,42,252,269
S,43,438,408
S,44,370,224
S,45,141,505
S,46,93,48
S,47,112,156
S,48,163,432
S,49,65,394
S,50,390,479
S,51,257,11
S,52,117,273
S,53,348,114
S,54,300,445
S,55,161,464
S,56,3,269
S,57,182,108
S,58,305,203
S,59,156,382
S,60,165,0
S,61,331,500
S,62,19,114
S,63,371,314
