# terrain_scenario.csv - SYNTHETIC composed elevation-map recipe for project 13.03
# generated by scripts/make_synthetic.py (rock placement RNG seed 42; everything else is exact deterministic geometry)
# Grid constants (W,H,cell_m), plane-fit radius, friction/roughness/edge/weight/
# threshold constants and the query search radius are NOT here - they are the
# tuned algorithm configuration and live in ../src/kernels.cuh (CLAUDE.md doc-8).
#
# RIPPLE,amplitude_m,wavelength_m        background ripple, applied everywhere
# RAMP,x0,x1,y0,y1,angle_deg              linear ramp, one rectangular footprint (m)
# STEP,x0,x1,y0,y1,edge_x,height_m        vertical step, one rectangular footprint (m)
# ROCK,cx,cy,h,r                          one smooth dome (m); 16 rows
# HOLE,x0,x1,y0,y1                        rectangular NaN block - sensor dropout (m)
# PATH,x0,y0,x1,y1,n                      one straight foothold-query segment (m, count)
# license: same as the repository (MIT) - fully synthetic, no external source
RIPPLE,0.002,0.5
RAMP,1.00,2.00,1.00,1.60,15.0
STEP,3.00,3.90,1.90,2.50,3.45,0.12
ROCK,0.4843,3.2365,0.0267,0.0756
ROCK,3.3171,3.8191,0.0226,0.0795
ROCK,2.7454,3.1850,0.0377,0.0760
ROCK,0.4106,3.7360,0.0409,0.0824
ROCK,1.0435,3.8948,0.0301,0.0636
ROCK,0.7785,3.7949,0.0381,0.0537
ROCK,3.5460,3.4839,0.0492,0.0823
ROCK,2.7774,3.7694,0.0386,0.0651
ROCK,1.3537,3.2402,0.0224,0.0518
ROCK,0.8018,3.2321,0.0391,0.0593
ROCK,1.9826,3.1680,0.0280,0.0646
ROCK,3.1903,3.5510,0.0251,0.0875
ROCK,1.0886,3.3365,0.0497,0.0792
ROCK,3.7458,3.1973,0.0210,0.0837
ROCK,1.5339,3.1683,0.0483,0.0626
ROCK,1.7476,3.5945,0.0319,0.0851
HOLE,4.00,4.40,4.40,4.60
# 5 query segments x 200 points = 1000 foothold queries, one segment per feature:
PATH,0.30,0.30,0.70,0.70,200
PATH,1.00,1.30,2.00,1.30,200
PATH,3.00,2.20,3.90,2.20,200
PATH,0.50,3.40,4.50,3.40,200
PATH,3.80,4.38,4.60,4.38,200
