# SYNTHETIC data - generated by scripts/make_synthetic.py for project 02.18
# regenerate: python make_synthetic.py --seed 42
# scene: GROUND/WALL_NEAR/WALL_FAR/CAR real structure, ray-cast under three
#        independent atmospheres (SNOW/RAIN/DUST) - see this script's module
#        docstring for the full physics derivation
# num_beams=16
# azimuth_steps=100
# azimuth_min_deg=-50.0
# azimuth_step_deg=1.0
# max_range_m=45.0
# seed=42
# weather ids: 0=SNOW 1=RAIN 2=DUST
# surf_cohort ids (is_real==1 only): 0=GROUND 1=WALL_NEAR 2=WALL_FAR 3=CAR ; -1=n/a
# scatterer_type (is_real==0 only): 0=SNOW 1=RAIN 2=DUST ; -1=n/a
# columns: weather,x,y,z,intensity,is_real,scatterer_type,surf_cohort
0,0.316634,-0.377350,-0.131991,0.094052,0,0,-1
0,2.931881,-3.372743,-1.197446,0.025882,1,-1,0
0,2.989488,-3.320162,-1.197122,0.025882,1,-1,0
0,3.053755,-3.274751,-1.199785,0.025882,1,-1,0
0,3.126617,-3.237707,-1.206024,0.025882,1,-1,0
0,1.993478,-1.993478,-0.755403,0.035356,0,0,-1
0,3.207219,-3.097176,-1.194667,0.025882,1,-1,0
0,3.264799,-3.044474,-1.196138,0.025882,1,-1,0
0,3.341547,-3.008743,-1.204832,0.025882,1,-1,0
0,3.376327,-2.934996,-1.198718,0.025882,1,-1,0
0,3.418107,-2.868132,-1.195595,0.025882,1,-1,0
0,3.473661,-2.812915,-1.197670,0.025882,1,-1,0
0,3.522179,-2.751828,-1.197655,0.025882,1,-1,0
0,3.598056,-2.711330,-1.207179,0.025882,1,-1,0
0,3.625673,-2.634205,-1.200835,0.025882,1,-1,0
0,3.667566,-2.568058,-1.199681,0.025882,1,-1,0
0,3.729828,-2.515800,-1.205499,0.025882,1,-1,0
0,3.763552,-2.444079,-1.202428,0.025882,1,-1,0
0,3.794040,-2.370779,-1.198764,0.025882,1,-1,0
0,3.808132,-2.288156,-1.190416,0.025882,1,-1,0
0,3.880763,-2.240559,-1.200712,0.025882,1,-1,0
0,3.925843,-2.176130,-1.202724,0.025882,1,-1,0
0,3.940801,-2.095361,-1.195920,0.025882,1,-1,0
0,3.995307,-2.035711,-1.201494,0.025882,1,-1,0
0,4.034553,-1.967783,-1.202784,0.025882,1,-1,0
0,4.051099,-1.889058,-1.197704,0.025882,1,-1,0
0,4.070769,-1.812423,-1.193985,0.025882,1,-1,0
0,4.103386,-1.741784,-1.194452,0.025882,1,-1,0
0,4.184884,-1.690803,-1.209400,0.025882,1,-1,0
0,4.166792,-1.599482,-1.195921,0.025882,1,-1,0
0,4.236996,-1.542140,-1.208161,0.025882,1,-1,0
0,4.232385,-1.457327,-1.199410,0.025882,1,-1,0
0,4.253930,-1.382186,-1.198496,0.025882,1,-1,0
0,4.251387,-1.299780,-1.191206,0.025882,1,-1,0
0,2.975870,-0.853317,-0.829516,0.023816,0,0,-1
0,4.312396,-1.155503,-1.196265,0.025882,1,-1,0
0,4.304643,-1.073268,-1.188736,0.025882,1,-1,0
0,4.388180,-1.013091,-1.206738,0.025882,1,-1,0
0,4.374257,-0.929777,-1.198264,0.025882,1,-1,0
0,4.394827,-0.854268,-1.199631,0.025882,1,-1,0
0,4.426505,-0.780512,-1.204376,0.025882,1,-1,0
0,4.435862,-0.702571,-1.203401,0.025882,1,-1,0
0,4.435591,-0.623382,-1.200193,0.025882,1,-1,0
