# SYNTHETIC ground truth — generated by scripts/make_synthetic.py for project 01.24
# NEVER fed into the detection pipeline; only main.cu's GATEs read this file.
x,y,s0_dn,dolp,aolp_deg,label
0,0,124.0000,0.018000,45.0000,0
1,0,124.0945,0.018000,45.0000,0
2,0,124.1890,0.018000,45.0000,0
3,0,124.2835,0.018000,45.0000,0
4,0,124.3780,0.018000,45.0000,0
5,0,124.4724,0.018000,45.0000,0
6,0,124.5669,0.018000,45.0000,0
7,0,124.6614,0.018000,45.0000,0
8,0,124.7559,0.018000,45.0000,0
9,0,124.8504,0.018000,45.0000,0
10,0,124.9449,0.018000,45.0000,0
11,0,125.0394,0.018000,45.0000,0
12,0,125.1339,0.018000,45.0000,0
13,0,125.2283,0.018000,45.0000,0
14,0,125.3228,0.018000,45.0000,0
15,0,125.4173,0.018000,45.0000,0
16,0,125.5118,0.018000,45.0000,0
17,0,125.6063,0.018000,45.0000,0
18,0,125.7008,0.018000,45.0000,0
19,0,125.7953,0.018000,45.0000,0
20,0,125.8898,0.018000,45.0000,0
21,0,125.9843,0.018000,45.0000,0
22,0,126.0787,0.018000,45.0000,0
23,0,126.1732,0.018000,45.0000,0
24,0,126.2677,0.018000,45.0000,0
25,0,126.3622,0.018000,45.0000,0
26,0,126.4567,0.018000,45.0000,0
27,0,126.5512,0.018000,45.0000,0
28,0,126.6457,0.018000,45.0000,0
29,0,126.7402,0.018000,45.0000,0
30,0,126.8346,0.018000,45.0000,0
31,0,126.9291,0.018000,45.0000,0
32,0,127.0236,0.018000,45.0000,0
33,0,127.1181,0.018000,45.0000,0
34,0,127.2126,0.018000,45.0000,0
35,0,127.3071,0.018000,45.0000,0
36,0,127.4016,0.018000,45.0000,0
37,0,127.4961,0.018000,45.0000,0
38,0,127.5906,0.018000,45.0000,0
39,0,127.6850,0.018000,45.0000,0
40,0,127.7795,0.018000,45.0000,0
41,0,127.8740,0.018000,45.0000,0
42,0,127.9685,0.018000,45.0000,0
43,0,128.0630,0.018000,45.0000,0
44,0,128.1575,0.018000,45.0000,0
45,0,128.2520,0.018000,45.0000,0
46,0,128.3465,0.018000,45.0000,0
47,0,128.4409,0.018000,45.0000,0
48,0,128.5354,0.018000,45.0000,0
49,0,128.6299,0.018000,45.0000,0
50,0,128.7244,0.018000,45.0000,0
51,0,128.8189,0.018000,45.0000,0
52,0,128.9134,0.018000,45.0000,0
53,0,129.0079,0.018000,45.0000,0
54,0,129.1024,0.018000,45.0000,0
55,0,129.1969,0.018000,45.0000,0
56,0,129.2913,0.018000,45.0000,0
57,0,129.3858,0.018000,45.0000,0
58,0,129.4803,0.018000,45.0000,0
59,0,129.5748,0.018000,45.0000,0
60,0,129.6693,0.018000,45.0000,0
61,0,129.7638,0.018000,45.0000,0
62,0,129.8583,0.018000,45.0000,0
63,0,129.9528,0.018000,45.0000,0
64,0,130.0472,0.018000,45.0000,0
65,0,130.1417,0.018000,45.0000,0
66,0,130.2362,0.018000,45.0000,0
67,0,130.3307,0.018000,45.0000,0
68,0,130.4252,0.018000,45.0000,0
69,0,130.5197,0.018000,45.0000,0
70,0,130.6142,0.018000,45.0000,0
71,0,130.7087,0.018000,45.0000,0
72,0,130.8031,0.018000,45.0000,0
73,0,130.8976,0.018000,45.0000,0
74,0,130.9921,0.018000,45.0000,0
75,0,131.0866,0.018000,45.0000,0
76,0,131.1811,0.018000,45.0000,0
77,0,131.2756,0.018000,45.0000,0
78,0,131.3701,0.018000,45.0000,0
79,0,131.4646,0.018000,45.0000,0
80,0,131.5591,0.018000,45.0000,0
81,0,131.6535,0.018000,45.0000,0
82,0,131.7480,0.018000,45.0000,0
83,0,131.8425,0.018000,45.0000,0
