# SYNTHETIC data - generated by scripts/make_synthetic.py for project 02.20
# regenerate: python make_synthetic.py --seed 42
# variant: primary (all channels nominal)
# scene: GROUND/WALL_NEAR/PANEL/WALL_FAR/ISOLATED_TARGET - see this script's module
#        docstring for the full forward-model derivation
# num_beams=16
# elev_min_deg=-4.0
# elev_max_deg=4.0
# azimuth_min_deg=-40.0
# azimuth_step_deg=1.0
# azimuth_steps=81
# max_range_m=45.0
# range_plateau_m=4.0
# seed=42
# surf_id: 0=GROUND 1=WALL_NEAR 2=PANEL 3=WALL_FAR 4=ISOLATED_TARGET
# elev_deg_by_channel=-4.000000,-3.466667,-2.933333,-2.400000,-1.866667,-1.333333,-0.800000,-0.266667,0.266667,0.800000,1.333333,1.866667,2.400000,2.933333,3.466667,4.000000
# columns: channel,x,y,z,intensity,surf_id,R_true
0,13.117806,-11.007147,-1.197432,0.000324,0,0.220000
0,13.328795,-10.793445,-1.199312,0.000671,0,0.220000
0,13.522240,-10.564732,-1.199942,0.002138,0,0.220000
0,13.698279,-10.322394,-1.199392,0.000000,0,0.220000
0,13.900654,-10.099416,-1.201493,0.000377,0,0.220000
0,14.040321,-9.831139,-1.198550,0.000062,0,0.220000
0,14.231151,-9.599033,-1.200355,0.001483,0,0.220000
0,14.373196,-9.334062,-1.198411,0.001883,0,0.220000
0,14.523195,-9.075099,-1.197527,0.000000,0,0.220000
0,14.709383,-8.838289,-1.199976,0.001027,0,0.220000
0,14.866402,-8.583121,-1.200381,0.001790,0,0.220000
0,15.039587,-8.336579,-1.202432,0.000390,0,0.220000
0,15.169933,-8.065996,-1.201413,0.000322,0,0.220000
0,15.319487,-7.805669,-1.202284,0.000000,0,0.220000
0,15.410252,-7.516082,-1.198929,0.000578,0,0.220000
0,15.591768,-7.270561,-1.202994,0.001127,0,0.220000
0,15.678935,-6.980712,-1.200135,0.001091,0,0.220000
0,15.818335,-6.714485,-1.201651,0.000000,0,0.220000
0,15.895391,-6.422155,-1.198806,0.000000,0,0.220000
0,16.031607,-6.153957,-1.200796,0.001574,0,0.220000
0,16.130305,-5.870951,-1.200330,0.000453,0,0.220000
0,16.223013,-5.586031,-1.199790,0.001041,0,0.220000
0,16.318800,-5.302300,-1.199846,0.000000,0,0.220000
0,16.435206,-5.024747,-1.201773,0.000000,0,0.220000
0,16.519237,-4.736815,-1.201689,0.000000,0,0.220000
0,8.022693,-2.149674,-0.580791,0.077444,1,0.550000
0,8.007589,-1.996516,-0.577087,0.075907,1,0.550000
0,8.000804,-1.847131,-0.574187,0.080737,1,0.550000
0,8.012160,-1.703037,-0.572781,0.076199,1,0.550000
0,7.984507,-1.552031,-0.568781,0.081320,1,0.550000
0,7.997344,-1.410148,-0.567856,0.080089,1,0.550000
0,7.985401,-1.264763,-0.565354,0.083954,1,0.550000
