# camera_path.csv - SYNTHETIC camera trajectory for project 05.01
# generated by scripts/make_synthetic.py (closed-form circle + look-at; no RNG - a camera path is constants)
# CAM,width,height,fx,fy,cx,cy : pinhole intrinsics (px); optical frame x-right/y-down/z-forward
# POSE,i,tx,ty,tz,qw,qx,qy,qz  : T_world_cam - camera position (m, world, z up) + quaternion (w,x,y,z)
# license: same as the repository (MIT) - fully synthetic, no external source
CAM,160,120,120,120,79.5,59.5
POSE,0,2,0,1.2,0.415606162,-0.572076497,-0.572076497,0.415606162
POSE,1,1.93185165,0.51763809,1.2,0.357803104,-0.492511336,-0.64185327,0.466298083
POSE,2,1.73205081,1,1.2,0.293877935,-0.40451917,-0.700647755,0.509011515
POSE,3,1.41421356,1.41421356,1.2,0.224924434,-0.309605569,-0.747453964,0.543015619
POSE,4,1,1.73205081,1.2,0.152122413,-0.209394531,-0.781471027,0.567728575
POSE,5,0.51763809,1.93185165,1.2,0.0767175358,-0.105600694,-0.802116905,0.582727538
POSE,6,1.2246468e-16,2,1.2,1.79948337e-17,-2.47696553e-17,-0.80903834,0.587755871
POSE,7,-0.51763809,1.93185165,1.2,0.0767175358,-0.105600694,0.802116905,-0.582727538
POSE,8,-1,1.73205081,1.2,0.152122413,-0.209394531,0.781471027,-0.567728575
POSE,9,-1.41421356,1.41421356,1.2,0.224924434,-0.309605569,0.747453964,-0.543015619
POSE,10,-1.73205081,1,1.2,0.293877935,-0.40451917,0.700647755,-0.509011515
POSE,11,-1.93185165,0.51763809,1.2,0.357803104,-0.492511336,0.64185327,-0.466298083
POSE,12,-2,2.4492936e-16,1.2,0.415606162,-0.572076497,0.572076497,-0.415606162
POSE,13,-1.93185165,-0.51763809,1.2,0.466298083,-0.64185327,0.492511336,-0.357803104
POSE,14,-1.73205081,-1,1.2,0.509011515,-0.700647755,0.40451917,-0.293877935
POSE,15,-1.41421356,-1.41421356,1.2,0.543015619,-0.747453964,0.309605569,-0.224924434
POSE,16,-1,-1.73205081,1.2,0.567728575,-0.781471027,0.209394531,-0.152122413
POSE,17,-0.51763809,-1.93185165,1.2,0.582727538,-0.802116905,0.105600694,-0.0767175358
POSE,18,-3.6739404e-16,-2,1.2,0.587755871,-0.80903834,7.4308966e-17,-5.3984501e-17
POSE,19,0.51763809,-1.93185165,1.2,0.582727538,-0.802116905,-0.105600694,0.0767175358
POSE,20,1,-1.73205081,1.2,0.567728575,-0.781471027,-0.209394531,0.152122413
POSE,21,1.41421356,-1.41421356,1.2,0.543015619,-0.747453964,-0.309605569,0.224924434
POSE,22,1.73205081,-1,1.2,0.509011515,-0.700647755,-0.40451917,0.293877935
POSE,23,1.93185165,-0.51763809,1.2,0.466298083,-0.64185327,-0.492511336,0.357803104
