# SYNTHETIC data - generated by scripts/make_synthetic.py for project 02.14
# regenerate: python make_synthetic.py --seed 42
# scene: static WALL/POLE + dynamic CROSSING_CAR/ONCOMING_CAR/RECEDING_CAR/STOPPED_CAR;
#        see this script's module docstring for the full scene description
# num_scans_window=5
# num_beams=16
# azimuth_bins=360
# max_range_m=30.0
# range_noise_sigma_m=0.02
# seed=42
# cohort ids: 0=WALL 1=POLE 2=CROSSING_CAR(dyn) 3=ONCOMING_CAR(dyn) 4=RECEDING_CAR(dyn) 5=STOPPED_CAR(dyn) -1=NONE(miss)
# columns: scan_id,ring,az_bin,range_m,cohort,truth_dynamic,disocclusion_band
0,0,62,17.31652842,0,0,0
0,0,63,17.22089895,0,0,0
0,0,64,17.04209884,0,0,0
0,0,65,16.89618371,0,0,0
0,0,66,16.77226423,0,0,0
0,0,67,16.64920590,0,0,0
0,0,68,16.52457131,0,0,0
0,0,69,16.41177093,0,0,0
0,0,70,16.34602958,0,0,0
0,0,71,16.19623974,0,0,0
0,0,72,16.09678608,0,0,0
0,0,73,16.00270612,0,0,0
0,0,74,15.96096456,0,0,0
0,0,75,15.84767201,0,0,0
0,0,76,15.78802666,0,0,0
0,0,77,15.70433859,0,0,0
0,0,78,15.65943888,0,0,0
0,0,79,15.59761321,0,0,0
0,0,80,15.56353833,0,0,0
0,0,81,15.50407754,0,0,0
0,0,82,15.49705107,0,0,0
0,0,83,15.41436950,0,0,0
0,0,84,15.43422462,0,0,0
0,0,85,15.41426613,0,0,0
0,0,86,15.32405424,0,0,0
0,0,87,15.34188364,0,0,0
0,0,88,15.31725238,0,0,0
0,0,89,15.32407805,0,0,0
0,0,90,15.33146687,0,0,0
0,0,91,15.33705995,0,0,0
0,0,92,15.33688271,0,0,0
0,0,93,15.30608539,0,0,0
0,0,94,15.39212395,0,0,0
0,0,95,15.41547407,0,0,0
0,0,96,15.41701220,0,0,0
0,0,97,15.43388048,0,0,0
0,0,98,15.49292787,0,0,0
0,0,99,15.51885269,0,0,0
0,0,100,15.55357198,0,0,0
0,0,101,15.64160893,0,0,0
0,0,102,15.65552175,0,0,0
0,0,103,15.70401709,0,0,0
0,0,104,15.77579181,0,0,0
0,0,105,15.84115678,0,0,0
0,0,106,15.94153612,0,0,0
0,0,107,16.06509779,0,0,0
0,0,108,16.09483713,0,0,0
0,0,109,16.22063202,0,0,0
0,0,110,16.30736136,0,0,0
0,0,111,16.40989668,0,0,0
0,0,112,16.53986918,0,0,0
0,0,113,16.66897877,0,0,0
0,0,114,16.73813484,0,0,0
0,0,115,16.84927923,0,0,0
0,0,116,17.03027458,0,0,0
0,0,117,17.17127692,0,0,0
0,0,118,17.33890566,0,0,0
0,1,50,19.83962798,0,0,0
0,1,51,19.56945075,0,0,0
0,1,52,19.30153283,0,0,0
0,1,53,19.02378914,0,0,0
0,1,54,18.76965814,0,0,0
0,1,55,18.54128694,0,0,0
0,1,56,18.31859423,0,0,0
0,1,57,18.11226792,0,0,0
0,1,58,17.92403770,0,0,0
0,1,59,17.71814297,0,0,0
0,1,60,17.57045811,0,0,0
0,1,61,10.49458711,1,0,0
0,1,62,17.22836936,0,0,0
0,1,63,17.00576142,0,0,0
0,1,64,16.86932111,0,0,0
0,1,65,16.78375113,0,0,0
0,1,66,16.59461825,0,0,0
0,1,67,16.48353435,0,0,0
0,1,68,16.40573928,0,0,0
0,1,69,16.27242851,0,0,0
0,1,70,16.19718556,0,0,0
0,1,71,16.07235907,0,0,0
0,1,72,15.97291877,0,0,0
0,1,73,15.84630905,0,0,0
0,1,74,15.80224870,0,0,0
0,1,75,15.74008398,0,0,0
0,1,76,15.67203619,0,0,0
0,1,77,15.60130405,0,0,0
0,1,78,15.50290508,0,0,0
0,1,79,15.48076240,0,0,0
0,1,80,15.40779899,0,0,0
0,1,81,15.38575365,0,0,0
0,1,82,15.34113336,0,0,0
0,1,83,15.30066670,0,0,0
0,1,84,15.27325867,0,0,0
0,1,85,15.22656993,0,0,0
0,1,86,15.21157448,0,0,0
0,1,87,15.22215225,0,0,0
0,1,88,15.21456916,0,0,0
0,1,89,15.18114773,0,0,0
0,1,90,15.19363268,0,0,0
0,1,91,15.19179255,0,0,0
0,1,92,15.18583228,0,0,0
0,1,93,15.25273169,0,0,0
0,1,94,15.24685609,0,0,0
0,1,95,15.28556491,0,0,0
0,1,96,15.26826086,0,0,0
0,1,97,15.34766349,0,0,0
0,1,98,15.32423829,0,0,0
0,1,99,15.42897669,0,0,0
0,1,100,15.46037297,0,0,0
0,1,101,15.49625103,0,0,0
0,1,102,15.55447680,0,0,0
0,1,103,15.58325943,0,0,0
0,1,104,15.68371074,0,0,0
0,1,105,15.73236593,0,0,0
0,1,106,15.81351955,0,0,0
0,1,107,15.85745546,0,0,0
0,1,108,15.97468802,0,0,0
0,1,109,16.06228491,0,0,0
0,1,110,16.20132049,0,0,0
0,1,111,16.21884636,0,0,0
0,1,112,16.38508111,0,0,0
0,1,113,16.50901782,0,0,0
0,1,114,16.65235412,0,0,0
0,1,115,16.73764771,0,0,0
0,1,116,16.92522274,0,0,0
0,1,117,17.07856036,0,0,0
0,1,118,17.23785943,0,0,0
0,1,119,17.37062815,0,0,0
0,1,120,17.52358365,0,0,0
0,1,121,17.67962748,0,0,0
0,1,122,17.92037457,0,0,0
0,1,123,18.11488578,0,0,0
